/usr/local/clang/4.0.0/bin/clang++
/usr/local/clang/4.0.0/lib:/usr/local/gcc/6.3.0/lib:/usr/local/gcc/6.3.0/lib64
copy, wrapper_strategy, uint32_t,  0.9953, 100
copy, wrapper_strategy, uint32_t,  0.9995, 200
copy, wrapper_strategy, uint32_t,  0.9990, 500
copy, wrapper_strategy, uint32_t,  0.9990, 1000
copy, wrapper_strategy, uint32_t,  0.9922, 2000
copy, wrapper_strategy, uint32_t,  0.9991, 5000
copy, wrapper_strategy, uint32_t,  1.0004, 10000
copy, wrapper_strategy, uint32_t,  0.9952, 20000
copy, wrapper_strategy, uint32_t,  0.9949, 50000
copy, wrapper_strategy, uint32_t,  0.9973, 100000
copy, wrapper_strategy, uint32_t,  0.9974, 200000
copy, wrapper_strategy, uint32_t,  0.9982, 500000
copy, wrapper_strategy, uint32_t,  0.9573, 1000000

copy, wrapper_strategy, uint64_t,  1.0000, 100
copy, wrapper_strategy, uint64_t,  0.9980, 200
copy, wrapper_strategy, uint64_t,  0.9992, 500
copy, wrapper_strategy, uint64_t,  0.9958, 1000
copy, wrapper_strategy, uint64_t,  0.9994, 2000
copy, wrapper_strategy, uint64_t,  1.0000, 5000
copy, wrapper_strategy, uint64_t,  0.9898, 10000
copy, wrapper_strategy, uint64_t,  0.9912, 20000
copy, wrapper_strategy, uint64_t,  0.9950, 50000
copy, wrapper_strategy, uint64_t,  0.9839, 100000
copy, wrapper_strategy, uint64_t,  0.9971, 200000
copy, wrapper_strategy, uint64_t,  0.9947, 500000
copy, wrapper_strategy, uint64_t,  0.9993, 1000000

copy, wrapper_strategy, string,  0.9644, 100
copy, wrapper_strategy, string,  0.9677, 200
copy, wrapper_strategy, string,  0.9852, 500
copy, wrapper_strategy, string,  1.0001, 1000
copy, wrapper_strategy, string,  0.9920, 2000
copy, wrapper_strategy, string,  0.9953, 5000
copy, wrapper_strategy, string,  0.9928, 10000
copy, wrapper_strategy, string,  0.9950, 20000
copy, wrapper_strategy, string,  0.9937, 50000
copy, wrapper_strategy, string,  0.9944, 100000
copy, wrapper_strategy, string,  0.9958, 200000
copy, wrapper_strategy, string,  1.0001, 500000
copy, wrapper_strategy, string,  0.9945, 1000000

copy, wrapper_strategy, test_struct,  0.9765, 100
copy, wrapper_strategy, test_struct,  1.0601, 200
copy, wrapper_strategy, test_struct,  0.9972, 500
copy, wrapper_strategy, test_struct,  0.9970, 1000
copy, wrapper_strategy, test_struct,  1.0004, 2000
copy, wrapper_strategy, test_struct,  0.9969, 5000
copy, wrapper_strategy, test_struct,  0.9854, 10000
copy, wrapper_strategy, test_struct,  0.9806, 20000
copy, wrapper_strategy, test_struct,  1.4093, 50000
copy, wrapper_strategy, test_struct,  0.9265, 100000
copy, wrapper_strategy, test_struct,  0.9173, 200000
copy, wrapper_strategy, test_struct,  0.9930, 500000
copy, wrapper_strategy, test_struct,  0.9840, 1000000

copy, based_2dxl_strategy, uint32_t,  0.9978, 100
copy, based_2dxl_strategy, uint32_t,  0.9980, 200
copy, based_2dxl_strategy, uint32_t,  0.9973, 500
copy, based_2dxl_strategy, uint32_t,  0.9986, 1000
copy, based_2dxl_strategy, uint32_t,  0.9963, 2000
copy, based_2dxl_strategy, uint32_t,  0.9954, 5000
copy, based_2dxl_strategy, uint32_t,  0.9950, 10000
copy, based_2dxl_strategy, uint32_t,  0.9953, 20000
copy, based_2dxl_strategy, uint32_t,  0.9932, 50000
copy, based_2dxl_strategy, uint32_t,  0.9914, 100000
copy, based_2dxl_strategy, uint32_t,  0.9945, 200000
copy, based_2dxl_strategy, uint32_t,  0.9799, 500000
copy, based_2dxl_strategy, uint32_t,  0.9855, 1000000

copy, based_2dxl_strategy, uint64_t,  0.9956, 100
copy, based_2dxl_strategy, uint64_t,  0.9946, 200
copy, based_2dxl_strategy, uint64_t,  0.9994, 500
copy, based_2dxl_strategy, uint64_t,  1.0001, 1000
copy, based_2dxl_strategy, uint64_t,  0.9996, 2000
copy, based_2dxl_strategy, uint64_t,  0.9996, 5000
copy, based_2dxl_strategy, uint64_t,  0.9964, 10000
copy, based_2dxl_strategy, uint64_t,  0.9996, 20000
copy, based_2dxl_strategy, uint64_t,  0.9985, 50000
copy, based_2dxl_strategy, uint64_t,  1.0000, 100000
copy, based_2dxl_strategy, uint64_t,  0.9997, 200000
copy, based_2dxl_strategy, uint64_t,  0.9963, 500000
copy, based_2dxl_strategy, uint64_t,  0.9975, 1000000

copy, based_2dxl_strategy, string,  1.0228, 100
copy, based_2dxl_strategy, string,  1.0407, 200
copy, based_2dxl_strategy, string,  1.0487, 500
copy, based_2dxl_strategy, string,  1.0448, 1000
copy, based_2dxl_strategy, string,  1.0110, 2000
copy, based_2dxl_strategy, string,  0.9936, 5000
copy, based_2dxl_strategy, string,  0.9888, 10000
copy, based_2dxl_strategy, string,  0.9841, 20000
copy, based_2dxl_strategy, string,  0.9868, 50000
copy, based_2dxl_strategy, string,  0.9880, 100000
copy, based_2dxl_strategy, string,  0.9931, 200000
copy, based_2dxl_strategy, string,  0.9872, 500000
copy, based_2dxl_strategy, string,  0.9677, 1000000

copy, based_2dxl_strategy, test_struct,  0.9953, 100
copy, based_2dxl_strategy, test_struct,  0.9920, 200
copy, based_2dxl_strategy, test_struct,  1.1085, 500
copy, based_2dxl_strategy, test_struct,  1.1087, 1000
copy, based_2dxl_strategy, test_struct,  1.0621, 2000
copy, based_2dxl_strategy, test_struct,  1.0275, 5000
copy, based_2dxl_strategy, test_struct,  1.0288, 10000
copy, based_2dxl_strategy, test_struct,  1.0224, 20000
copy, based_2dxl_strategy, test_struct,  1.0070, 50000
copy, based_2dxl_strategy, test_struct,  0.9955, 100000
copy, based_2dxl_strategy, test_struct,  0.9971, 200000
copy, based_2dxl_strategy, test_struct,  0.9974, 500000
copy, based_2dxl_strategy, test_struct,  0.9695, 1000000

copy, based_2d_strategy, uint32_t,  1.0618, 100
copy, based_2d_strategy, uint32_t,  1.0412, 200
copy, based_2d_strategy, uint32_t,  1.1661, 500
copy, based_2d_strategy, uint32_t,  1.1314, 1000
copy, based_2d_strategy, uint32_t,  1.1456, 2000
copy, based_2d_strategy, uint32_t,  1.0744, 5000
copy, based_2d_strategy, uint32_t,  1.0812, 10000
copy, based_2d_strategy, uint32_t,  1.0748, 20000
copy, based_2d_strategy, uint32_t,  1.0975, 50000
copy, based_2d_strategy, uint32_t,  1.1020, 100000
copy, based_2d_strategy, uint32_t,  1.0691, 200000
copy, based_2d_strategy, uint32_t,  1.1126, 500000
copy, based_2d_strategy, uint32_t,  1.0779, 1000000

copy, based_2d_strategy, uint64_t,  1.0156, 100
copy, based_2d_strategy, uint64_t,  1.2426, 200
copy, based_2d_strategy, uint64_t,  1.2446, 500
copy, based_2d_strategy, uint64_t,  1.2266, 1000
copy, based_2d_strategy, uint64_t,  1.0997, 2000
copy, based_2d_strategy, uint64_t,  1.0852, 5000
copy, based_2d_strategy, uint64_t,  1.0944, 10000
copy, based_2d_strategy, uint64_t,  1.0756, 20000
copy, based_2d_strategy, uint64_t,  1.0827, 50000
copy, based_2d_strategy, uint64_t,  1.0627, 100000
copy, based_2d_strategy, uint64_t,  1.0873, 200000
copy, based_2d_strategy, uint64_t,  1.0718, 500000
copy, based_2d_strategy, uint64_t,  1.0579, 1000000

copy, based_2d_strategy, string,  1.0674, 100
copy, based_2d_strategy, string,  1.0757, 200
copy, based_2d_strategy, string,  1.0464, 500
copy, based_2d_strategy, string,  1.0393, 1000
copy, based_2d_strategy, string,  1.0320, 2000
copy, based_2d_strategy, string,  1.0154, 5000
copy, based_2d_strategy, string,  1.0102, 10000
copy, based_2d_strategy, string,  1.0139, 20000
copy, based_2d_strategy, string,  1.0106, 50000
copy, based_2d_strategy, string,  1.0142, 100000
copy, based_2d_strategy, string,  1.0185, 200000
copy, based_2d_strategy, string,  0.9936, 500000
copy, based_2d_strategy, string,  1.0055, 1000000

copy, based_2d_strategy, test_struct,  1.0006, 100
copy, based_2d_strategy, test_struct,  0.9930, 200
copy, based_2d_strategy, test_struct,  1.1125, 500
copy, based_2d_strategy, test_struct,  1.1166, 1000
copy, based_2d_strategy, test_struct,  1.0643, 2000
copy, based_2d_strategy, test_struct,  1.0049, 5000
copy, based_2d_strategy, test_struct,  1.0267, 10000
copy, based_2d_strategy, test_struct,  1.0222, 20000
copy, based_2d_strategy, test_struct,  0.9915, 50000
copy, based_2d_strategy, test_struct,  1.0080, 100000
copy, based_2d_strategy, test_struct,  1.0017, 200000
copy, based_2d_strategy, test_struct,  0.9970, 500000
copy, based_2d_strategy, test_struct,  0.9945, 1000000

copy, based_1d_strategy, uint32_t,  0.9996, 100
copy, based_1d_strategy, uint32_t,  0.9999, 200
copy, based_1d_strategy, uint32_t,  0.9998, 500
copy, based_1d_strategy, uint32_t,  0.9998, 1000
copy, based_1d_strategy, uint32_t,  0.9986, 2000
copy, based_1d_strategy, uint32_t,  0.9979, 5000
copy, based_1d_strategy, uint32_t,  1.0009, 10000
copy, based_1d_strategy, uint32_t,  1.0005, 20000
copy, based_1d_strategy, uint32_t,  0.9958, 50000
copy, based_1d_strategy, uint32_t,  1.0002, 100000
copy, based_1d_strategy, uint32_t,  1.0002, 200000
copy, based_1d_strategy, uint32_t,  0.9994, 500000
copy, based_1d_strategy, uint32_t,  0.9970, 1000000

copy, based_1d_strategy, uint64_t,  0.9985, 100
copy, based_1d_strategy, uint64_t,  0.9991, 200
copy, based_1d_strategy, uint64_t,  0.9951, 500
copy, based_1d_strategy, uint64_t,  0.9979, 1000
copy, based_1d_strategy, uint64_t,  0.9998, 2000
copy, based_1d_strategy, uint64_t,  0.9995, 5000
copy, based_1d_strategy, uint64_t,  0.9930, 10000
copy, based_1d_strategy, uint64_t,  0.9911, 20000
copy, based_1d_strategy, uint64_t,  0.9973, 50000
copy, based_1d_strategy, uint64_t,  0.9999, 100000
copy, based_1d_strategy, uint64_t,  0.9996, 200000
copy, based_1d_strategy, uint64_t,  0.9979, 500000
copy, based_1d_strategy, uint64_t,  0.9933, 1000000

copy, based_1d_strategy, string,  1.0502, 100
copy, based_1d_strategy, string,  1.0756, 200
copy, based_1d_strategy, string,  1.0745, 500
copy, based_1d_strategy, string,  1.0654, 1000
copy, based_1d_strategy, string,  1.0405, 2000
copy, based_1d_strategy, string,  1.0220, 5000
copy, based_1d_strategy, string,  1.0101, 10000
copy, based_1d_strategy, string,  1.0027, 20000
copy, based_1d_strategy, string,  1.0011, 50000
copy, based_1d_strategy, string,  1.0068, 100000
copy, based_1d_strategy, string,  1.0068, 200000
copy, based_1d_strategy, string,  0.9957, 500000
copy, based_1d_strategy, string,  0.9782, 1000000

copy, based_1d_strategy, test_struct,  0.9884, 100
copy, based_1d_strategy, test_struct,  1.0091, 200
copy, based_1d_strategy, test_struct,  1.0322, 500
copy, based_1d_strategy, test_struct,  1.0550, 1000
copy, based_1d_strategy, test_struct,  1.0269, 2000
copy, based_1d_strategy, test_struct,  1.0066, 5000
copy, based_1d_strategy, test_struct,  1.0042, 10000
copy, based_1d_strategy, test_struct,  1.0060, 20000
copy, based_1d_strategy, test_struct,  1.0142, 50000
copy, based_1d_strategy, test_struct,  1.0026, 100000
copy, based_1d_strategy, test_struct,  1.0001, 200000
copy, based_1d_strategy, test_struct,  0.9969, 500000
copy, based_1d_strategy, test_struct,  0.9998, 1000000

copy, offset_strategy, uint32_t,  1.0865, 100
copy, offset_strategy, uint32_t,  1.0803, 200
copy, offset_strategy, uint32_t,  1.0710, 500
copy, offset_strategy, uint32_t,  1.0713, 1000
copy, offset_strategy, uint32_t,  1.0691, 2000
copy, offset_strategy, uint32_t,  1.0629, 5000
copy, offset_strategy, uint32_t,  1.0614, 10000
copy, offset_strategy, uint32_t,  1.0591, 20000
copy, offset_strategy, uint32_t,  1.0556, 50000
copy, offset_strategy, uint32_t,  1.0564, 100000
copy, offset_strategy, uint32_t,  1.0587, 200000
copy, offset_strategy, uint32_t,  1.0538, 500000
copy, offset_strategy, uint32_t,  1.0625, 1000000

copy, offset_strategy, uint64_t,  1.0806, 100
copy, offset_strategy, uint64_t,  1.0764, 200
copy, offset_strategy, uint64_t,  1.0700, 500
copy, offset_strategy, uint64_t,  1.0699, 1000
copy, offset_strategy, uint64_t,  1.0657, 2000
copy, offset_strategy, uint64_t,  1.0687, 5000
copy, offset_strategy, uint64_t,  1.0660, 10000
copy, offset_strategy, uint64_t,  1.0655, 20000
copy, offset_strategy, uint64_t,  1.0663, 50000
copy, offset_strategy, uint64_t,  1.0646, 100000
copy, offset_strategy, uint64_t,  1.0637, 200000
copy, offset_strategy, uint64_t,  1.0710, 500000
copy, offset_strategy, uint64_t,  1.0266, 1000000

copy, offset_strategy, string,  1.0500, 100
copy, offset_strategy, string,  1.0500, 200
copy, offset_strategy, string,  1.0233, 500
copy, offset_strategy, string,  1.0277, 1000
copy, offset_strategy, string,  1.0224, 2000
copy, offset_strategy, string,  1.0180, 5000
copy, offset_strategy, string,  1.0210, 10000
copy, offset_strategy, string,  1.0163, 20000
copy, offset_strategy, string,  1.0161, 50000
copy, offset_strategy, string,  1.0157, 100000
copy, offset_strategy, string,  1.0009, 200000
copy, offset_strategy, string,  1.0116, 500000
copy, offset_strategy, string,  1.0038, 1000000

copy, offset_strategy, test_struct,  1.1517, 100
copy, offset_strategy, test_struct,  1.0845, 200
copy, offset_strategy, test_struct,  1.0895, 500
copy, offset_strategy, test_struct,  1.0742, 1000
copy, offset_strategy, test_struct,  1.0650, 2000
copy, offset_strategy, test_struct,  1.0345, 5000
copy, offset_strategy, test_struct,  1.0389, 10000
copy, offset_strategy, test_struct,  1.0293, 20000
copy, offset_strategy, test_struct,  1.0389, 50000
copy, offset_strategy, test_struct,  0.9983, 100000
copy, offset_strategy, test_struct,  1.0032, 200000
copy, offset_strategy, test_struct,  0.9976, 500000
copy, offset_strategy, test_struct,  0.9978, 1000000

sort, wrapper_strategy, uint32_t,  1.6675, 100
sort, wrapper_strategy, uint32_t,  1.5710, 200
sort, wrapper_strategy, uint32_t,  1.3189, 500
sort, wrapper_strategy, uint32_t,  1.1105, 1000
sort, wrapper_strategy, uint32_t,  1.0511, 2000
sort, wrapper_strategy, uint32_t,  1.0208, 5000
sort, wrapper_strategy, uint32_t,  1.0090, 10000
sort, wrapper_strategy, uint32_t,  0.9996, 20000
sort, wrapper_strategy, uint32_t,  0.9965, 50000
sort, wrapper_strategy, uint32_t,  1.0009, 100000
sort, wrapper_strategy, uint32_t,  0.9996, 200000
sort, wrapper_strategy, uint32_t,  1.0013, 500000
sort, wrapper_strategy, uint32_t,  0.9971, 1000000

sort, wrapper_strategy, uint64_t,  1.8866, 100
sort, wrapper_strategy, uint64_t,  1.6319, 200
sort, wrapper_strategy, uint64_t,  1.2325, 500
sort, wrapper_strategy, uint64_t,  1.0909, 1000
sort, wrapper_strategy, uint64_t,  1.0424, 2000
sort, wrapper_strategy, uint64_t,  1.0173, 5000
sort, wrapper_strategy, uint64_t,  1.0101, 10000
sort, wrapper_strategy, uint64_t,  0.9959, 20000
sort, wrapper_strategy, uint64_t,  0.9888, 50000
sort, wrapper_strategy, uint64_t,  1.0009, 100000
sort, wrapper_strategy, uint64_t,  1.0007, 200000
sort, wrapper_strategy, uint64_t,  0.9990, 500000
sort, wrapper_strategy, uint64_t,  1.0008, 1000000

sort, wrapper_strategy, string,  1.4074, 100
sort, wrapper_strategy, string,  1.2068, 200
sort, wrapper_strategy, string,  1.0535, 500
sort, wrapper_strategy, string,  1.0305, 1000
sort, wrapper_strategy, string,  1.0277, 2000
sort, wrapper_strategy, string,  1.0133, 5000
sort, wrapper_strategy, string,  1.0167, 10000
sort, wrapper_strategy, string,  1.0069, 20000
sort, wrapper_strategy, string,  1.0092, 50000
sort, wrapper_strategy, string,  1.0147, 100000
sort, wrapper_strategy, string,  1.0173, 200000
sort, wrapper_strategy, string,  1.0039, 500000
sort, wrapper_strategy, string,  1.0138, 1000000

sort, wrapper_strategy, test_struct,  1.3887, 100
sort, wrapper_strategy, test_struct,  1.2002, 200
sort, wrapper_strategy, test_struct,  1.0596, 500
sort, wrapper_strategy, test_struct,  1.0293, 1000
sort, wrapper_strategy, test_struct,  1.0129, 2000
sort, wrapper_strategy, test_struct,  0.9987, 5000
sort, wrapper_strategy, test_struct,  0.9974, 10000
sort, wrapper_strategy, test_struct,  0.9969, 20000
sort, wrapper_strategy, test_struct,  0.9938, 50000
sort, wrapper_strategy, test_struct,  0.9913, 100000
sort, wrapper_strategy, test_struct,  0.9903, 200000
sort, wrapper_strategy, test_struct,  0.9884, 500000
sort, wrapper_strategy, test_struct,  0.9882, 1000000

sort, based_2dxl_strategy, uint32_t,  2.0953, 100
sort, based_2dxl_strategy, uint32_t,  1.8076, 200
sort, based_2dxl_strategy, uint32_t,  1.4617, 500
sort, based_2dxl_strategy, uint32_t,  1.2590, 1000
sort, based_2dxl_strategy, uint32_t,  1.2107, 2000
sort, based_2dxl_strategy, uint32_t,  1.1660, 5000
sort, based_2dxl_strategy, uint32_t,  1.1785, 10000
sort, based_2dxl_strategy, uint32_t,  1.1813, 20000
sort, based_2dxl_strategy, uint32_t,  1.1931, 50000
sort, based_2dxl_strategy, uint32_t,  1.1850, 100000
sort, based_2dxl_strategy, uint32_t,  1.1865, 200000
sort, based_2dxl_strategy, uint32_t,  1.1784, 500000
sort, based_2dxl_strategy, uint32_t,  1.1913, 1000000

sort, based_2dxl_strategy, uint64_t,  2.1429, 100
sort, based_2dxl_strategy, uint64_t,  1.8846, 200
sort, based_2dxl_strategy, uint64_t,  1.4645, 500
