/usr/local/gcc/6.3.0/bin/g++
/usr/local/gcc/6.3.0/lib:/usr/local/gcc/6.3.0/lib64
copy, wrapper_strategy, uint32_t,  0.9996, 100
copy, wrapper_strategy, uint32_t,   1.000, 200
copy, wrapper_strategy, uint32_t,  0.9995, 500
copy, wrapper_strategy, uint32_t,  0.9998, 1000
copy, wrapper_strategy, uint32_t,  0.9976, 2000
copy, wrapper_strategy, uint32_t,  0.9983, 5000
copy, wrapper_strategy, uint32_t,  0.9990, 10000
copy, wrapper_strategy, uint32_t,  0.9977, 20000
copy, wrapper_strategy, uint32_t,  1.0002, 50000
copy, wrapper_strategy, uint32_t,  0.9991, 100000
copy, wrapper_strategy, uint32_t,  0.9990, 200000
copy, wrapper_strategy, uint32_t,  0.9991, 500000
copy, wrapper_strategy, uint32_t,  0.9995, 1000000

copy, wrapper_strategy, uint64_t,  0.9994, 100
copy, wrapper_strategy, uint64_t,  0.9949, 200
copy, wrapper_strategy, uint64_t,  1.0036, 500
copy, wrapper_strategy, uint64_t,  1.0018, 1000
copy, wrapper_strategy, uint64_t,  1.0001, 2000
copy, wrapper_strategy, uint64_t,  1.0024, 5000
copy, wrapper_strategy, uint64_t,  0.9994, 10000
copy, wrapper_strategy, uint64_t,  0.9997, 20000
copy, wrapper_strategy, uint64_t,  0.9987, 50000
copy, wrapper_strategy, uint64_t,  0.9995, 100000
copy, wrapper_strategy, uint64_t,  0.9979, 200000
copy, wrapper_strategy, uint64_t,  1.0092, 500000
copy, wrapper_strategy, uint64_t,  0.9932, 1000000

copy, wrapper_strategy, string,  0.9946, 100
copy, wrapper_strategy, string,  0.9884, 200
copy, wrapper_strategy, string,  0.9886, 500
copy, wrapper_strategy, string,  0.9959, 1000
copy, wrapper_strategy, string,  1.0000, 2000
copy, wrapper_strategy, string,  0.9928, 5000
copy, wrapper_strategy, string,  0.9969, 10000
copy, wrapper_strategy, string,  0.9960, 20000
copy, wrapper_strategy, string,  0.9978, 50000
copy, wrapper_strategy, string,  0.9900, 100000
copy, wrapper_strategy, string,  0.9936, 200000
copy, wrapper_strategy, string,  0.9933, 500000
copy, wrapper_strategy, string,  0.9603, 1000000

copy, wrapper_strategy, test_struct,  0.9940, 100
copy, wrapper_strategy, test_struct,  0.9973, 200
copy, wrapper_strategy, test_struct,  1.0005, 500
copy, wrapper_strategy, test_struct,  1.0004, 1000
copy, wrapper_strategy, test_struct,  0.9961, 2000
copy, wrapper_strategy, test_struct,  1.0010, 5000
copy, wrapper_strategy, test_struct,  0.9966, 10000
copy, wrapper_strategy, test_struct,  0.9990, 20000
copy, wrapper_strategy, test_struct,  0.9818, 50000
copy, wrapper_strategy, test_struct,  0.9935, 100000
copy, wrapper_strategy, test_struct,  1.0885, 200000
copy, wrapper_strategy, test_struct,  0.9813, 500000
copy, wrapper_strategy, test_struct,  0.9676, 1000000

copy, based_2dxl_strategy, uint32_t,  0.9969, 100
copy, based_2dxl_strategy, uint32_t,  0.9979, 200
copy, based_2dxl_strategy, uint32_t,  0.9967, 500
copy, based_2dxl_strategy, uint32_t,  0.9999, 1000
copy, based_2dxl_strategy, uint32_t,  0.9999, 2000
copy, based_2dxl_strategy, uint32_t,  1.0002, 5000
copy, based_2dxl_strategy, uint32_t,  0.9973, 10000
copy, based_2dxl_strategy, uint32_t,  0.9968, 20000
copy, based_2dxl_strategy, uint32_t,  0.9990, 50000
copy, based_2dxl_strategy, uint32_t,  1.0004, 100000
copy, based_2dxl_strategy, uint32_t,  0.9960, 200000
copy, based_2dxl_strategy, uint32_t,  1.0013, 500000
copy, based_2dxl_strategy, uint32_t,  0.9990, 1000000

copy, based_2dxl_strategy, uint64_t,  0.9996, 100
copy, based_2dxl_strategy, uint64_t,  0.9972, 200
copy, based_2dxl_strategy, uint64_t,  0.9941, 500
copy, based_2dxl_strategy, uint64_t,  0.9992, 1000
copy, based_2dxl_strategy, uint64_t,  0.9993, 2000
copy, based_2dxl_strategy, uint64_t,  0.9994, 5000
copy, based_2dxl_strategy, uint64_t,  0.9992, 10000
