/usr/local/clang/3.9.1/bin/clang++
/usr/local/clang/3.9.1/lib:/usr/local/gcc/6.3.0/lib:/usr/local/gcc/6.3.0/lib64
copy, based_2d_strategy, uint32_t,  1.0673, 50000
copy, based_2d_strategy, uint32_t,  1.0649, 100000
copy, based_2d_strategy, uint32_t,  1.0692, 200000
copy, based_2d_strategy, uint32_t,  1.0683, 500000
copy, based_2d_strategy, uint32_t,  1.0649, 1000000

copy, based_2d_strategy, uint64_t,  1.0527, 100
copy, based_2d_strategy, uint64_t,  1.1948, 200
copy, based_2d_strategy, uint64_t,  1.2190, 500
copy, based_2d_strategy, uint64_t,  1.2024, 1000
copy, based_2d_strategy, uint64_t,  1.0966, 2000
copy, based_2d_strategy, uint64_t,  1.0863, 5000
copy, based_2d_strategy, uint64_t,  1.0928, 10000
copy, based_2d_strategy, uint64_t,  1.0763, 20000
copy, based_2d_strategy, uint64_t,  1.0782, 50000
copy, based_2d_strategy, uint64_t,  1.0800, 100000
copy, based_2d_strategy, uint64_t,  1.0826, 200000
copy, based_2d_strategy, uint64_t,  1.0630, 500000
copy, based_2d_strategy, uint64_t,  1.0473, 1000000

copy, based_2d_strategy, string,  1.0138, 100
copy, based_2d_strategy, string,  1.0578, 200
copy, based_2d_strategy, string,  1.0220, 500
copy, based_2d_strategy, string,  1.0358, 1000
copy, based_2d_strategy, string,  1.0366, 2000
copy, based_2d_strategy, string,  1.0371, 5000
copy, based_2d_strategy, string,  1.0431, 10000
copy, based_2d_strategy, string,  1.0352, 20000
copy, based_2d_strategy, string,  1.0377, 50000
copy, based_2d_strategy, string,  1.0175, 100000
copy, based_2d_strategy, string,  1.0305, 200000
copy, based_2d_strategy, string,  1.0274, 500000
copy, based_2d_strategy, string,  1.0204, 1000000

copy, based_2d_strategy, test_struct,  1.0200, 100
copy, based_2d_strategy, test_struct,  0.9747, 200
copy, based_2d_strategy, test_struct,  1.1264, 500
copy, based_2d_strategy, test_struct,  1.1032, 1000
copy, based_2d_strategy, test_struct,  1.0670, 2000
copy, based_2d_strategy, test_struct,  1.0252, 5000
copy, based_2d_strategy, test_struct,  1.0212, 10000
copy, based_2d_strategy, test_struct,  1.0133, 20000
copy, based_2d_strategy, test_struct,  0.9422, 50000
copy, based_2d_strategy, test_struct,  0.9356, 100000
copy, based_2d_strategy, test_struct,  0.8831, 200000
copy, based_2d_strategy, test_struct,  0.9816, 500000
copy, based_2d_strategy, test_struct,  1.0047, 1000000

copy, based_1d_strategy, uint32_t,  0.9995, 100
copy, based_1d_strategy, uint32_t,  0.9995, 200
copy, based_1d_strategy, uint32_t,  0.9983, 500
copy, based_1d_strategy, uint32_t,  0.9969, 1000
copy, based_1d_strategy, uint32_t,  0.9968, 2000
copy, based_1d_strategy, uint32_t,  0.9992, 5000
copy, based_1d_strategy, uint32_t,  0.9992, 10000
copy, based_1d_strategy, uint32_t,  0.9927, 20000
copy, based_1d_strategy, uint32_t,  0.9928, 50000
copy, based_1d_strategy, uint32_t,  0.9973, 100000
copy, based_1d_strategy, uint32_t,  0.9982, 200000
copy, based_1d_strategy, uint32_t,  0.9999, 500000
copy, based_1d_strategy, uint32_t,  1.0001, 1000000

copy, based_1d_strategy, uint64_t,  0.9994, 100
copy, based_1d_strategy, uint64_t,  1.0011, 200
copy, based_1d_strategy, uint64_t,  0.9985, 500
copy, based_1d_strategy, uint64_t,  0.9967, 1000
copy, based_1d_strategy, uint64_t,  0.9993, 2000
copy, based_1d_strategy, uint64_t,  1.0080, 5000
copy, based_1d_strategy, uint64_t,  0.9979, 10000
copy, based_1d_strategy, uint64_t,  0.9987, 20000
copy, based_1d_strategy, uint64_t,  1.0024, 50000
