copy, wrapper_strategy, uint32_t,  0.9971, 100
copy, wrapper_strategy, uint32_t,  1.0019, 200
copy, wrapper_strategy, uint32_t,  1.0010, 500
copy, wrapper_strategy, uint32_t,  1.0225, 1000
copy, wrapper_strategy, uint32_t,  1.0222, 2000
copy, wrapper_strategy, uint32_t,  1.0264, 5000
copy, wrapper_strategy, uint32_t,  1.0275, 10000
copy, wrapper_strategy, uint32_t,  1.0269, 20000
copy, wrapper_strategy, uint32_t,  1.0193, 50000
copy, wrapper_strategy, uint32_t,  1.0168, 100000
copy, wrapper_strategy, uint32_t,  1.0095, 200000
copy, wrapper_strategy, uint32_t,  1.0260, 500000
copy, wrapper_strategy, uint32_t,  1.0247, 1000000

copy, wrapper_strategy, uint64_t,  0.9973, 100
copy, wrapper_strategy, uint64_t,  0.9982, 200
copy, wrapper_strategy, uint64_t,  1.0252, 500
copy, wrapper_strategy, uint64_t,  1.0289, 1000
copy, wrapper_strategy, uint64_t,  1.0312, 2000
copy, wrapper_strategy, uint64_t,  1.0316, 5000
copy, wrapper_strategy, uint64_t,  1.0327, 10000
copy, wrapper_strategy, uint64_t,  1.0128, 20000
copy, wrapper_strategy, uint64_t,  1.0192, 50000
copy, wrapper_strategy, uint64_t,  1.0063, 100000
copy, wrapper_strategy, uint64_t,  1.1931, 200000
copy, wrapper_strategy, uint64_t,  1.1129, 500000
copy, wrapper_strategy, uint64_t,  1.1356, 1000000

copy, wrapper_strategy, string,  1.0039, 100
copy, wrapper_strategy, string,  1.0023, 200
copy, wrapper_strategy, string,  1.0051, 500
copy, wrapper_strategy, string,  1.0041, 1000
copy, wrapper_strategy, string,  1.0044, 2000
copy, wrapper_strategy, string,  1.0064, 5000
copy, wrapper_strategy, string,  1.0068, 10000
copy, wrapper_strategy, string,  1.0061, 20000
copy, wrapper_strategy, string,  1.0002, 50000
copy, wrapper_strategy, string,  0.9980, 100000
copy, wrapper_strategy, string,  0.9926, 200000
copy, wrapper_strategy, string,  1.0002, 500000
copy, wrapper_strategy, string,  1.0048, 1000000

copy, wrapper_strategy, test_struct,  1.4948, 100
copy, wrapper_strategy, test_struct,  1.4981, 200
copy, wrapper_strategy, test_struct,  1.0446, 500
copy, wrapper_strategy, test_struct,  1.0475, 1000
copy, wrapper_strategy, test_struct,  1.0541, 2000
copy, wrapper_strategy, test_struct,  0.9874, 5000
copy, wrapper_strategy, test_struct,  0.9806, 10000
copy, wrapper_strategy, test_struct,  0.9891, 20000
copy, wrapper_strategy, test_struct,  0.9808, 50000
copy, wrapper_strategy, test_struct,  0.8918, 100000
copy, wrapper_strategy, test_struct,  0.9423, 200000
copy, wrapper_strategy, test_struct,  1.0094, 500000
copy, wrapper_strategy, test_struct,  0.9711, 1000000

copy, based_2dxl_strategy, uint32_t,  0.8813, 100
copy, based_2dxl_strategy, uint32_t,  0.9674, 200
copy, based_2dxl_strategy, uint32_t,  0.9684, 500
copy, based_2dxl_strategy, uint32_t,  1.0263, 1000
copy, based_2dxl_strategy, uint32_t,  1.0236, 2000
copy, based_2dxl_strategy, uint32_t,  1.0402, 5000
copy, based_2dxl_strategy, uint32_t,  1.0166, 10000
copy, based_2dxl_strategy, uint32_t,  1.0262, 20000
copy, based_2dxl_strategy, uint32_t,  0.9647, 50000
copy, based_2dxl_strategy, uint32_t,  0.9871, 100000
copy, based_2dxl_strategy, uint32_t,  0.9702, 200000
copy, based_2dxl_strategy, uint32_t,  1.0259, 500000
copy, based_2dxl_strategy, uint32_t,  1.0356, 1000000

copy, based_2dxl_strategy, uint64_t,  0.9215, 100
copy, based_2dxl_strategy, uint64_t,  0.7948, 200
copy, based_2dxl_strategy, uint64_t,  0.9579, 500
copy, based_2dxl_strategy, uint64_t,  0.9726, 1000
copy, based_2dxl_strategy, uint64_t,  0.9817, 2000
copy, based_2dxl_strategy, uint64_t,  1.0504, 5000
copy, based_2dxl_strategy, uint64_t,  1.0428, 10000
copy, based_2dxl_strategy, uint64_t,  0.9994, 20000
copy, based_2dxl_strategy, uint64_t,  0.9747, 50000
copy, based_2dxl_strategy, uint64_t,  1.0272, 100000
copy, based_2dxl_strategy, uint64_t,  1.1446, 200000
copy, based_2dxl_strategy, uint64_t,  1.0376, 500000
copy, based_2dxl_strategy, uint64_t,  1.0311, 1000000

copy, based_2dxl_strategy, string,  1.0177, 100
copy, based_2dxl_strategy, string,  1.0296, 200
copy, based_2dxl_strategy, string,  1.0294, 500
copy, based_2dxl_strategy, string,  1.0258, 1000
copy, based_2dxl_strategy, string,  1.0273, 2000
copy, based_2dxl_strategy, string,  1.0286, 5000
copy, based_2dxl_strategy, string,  1.0284, 10000
copy, based_2dxl_strategy, string,  1.0287, 20000
copy, based_2dxl_strategy, string,  1.0180, 50000
copy, based_2dxl_strategy, string,  0.9954, 100000
copy, based_2dxl_strategy, string,  1.0181, 200000
copy, based_2dxl_strategy, string,  1.0202, 500000
copy, based_2dxl_strategy, string,  1.0090, 1000000

copy, based_2dxl_strategy, test_struct,  2.0346, 100
copy, based_2dxl_strategy, test_struct,  2.1211, 200
copy, based_2dxl_strategy, test_struct,  1.1712, 500
copy, based_2dxl_strategy, test_struct,  1.1603, 1000
copy, based_2dxl_strategy, test_struct,  1.1543, 2000
copy, based_2dxl_strategy, test_struct,  0.9870, 5000
copy, based_2dxl_strategy, test_struct,  1.0008, 10000
copy, based_2dxl_strategy, test_struct,  1.0264, 20000
copy, based_2dxl_strategy, test_struct,  0.9561, 50000
copy, based_2dxl_strategy, test_struct,  0.9547, 100000
copy, based_2dxl_strategy, test_struct,  0.8814, 200000
copy, based_2dxl_strategy, test_struct,  1.1015, 500000
copy, based_2dxl_strategy, test_struct,  1.0688, 1000000

copy, based_2d_strategy, uint32_t,  4.4771, 100
copy, based_2d_strategy, uint32_t,  4.4752, 200
copy, based_2d_strategy, uint32_t,  4.4915, 500
copy, based_2d_strategy, uint32_t,  4.5136, 1000
copy, based_2d_strategy, uint32_t,  4.5126, 2000
copy, based_2d_strategy, uint32_t,  4.6438, 5000
copy, based_2d_strategy, uint32_t,  4.6701, 10000
copy, based_2d_strategy, uint32_t,  4.6702, 20000
copy, based_2d_strategy, uint32_t,  4.6046, 50000
copy, based_2d_strategy, uint32_t,  4.5670, 100000
copy, based_2d_strategy, uint32_t,  4.5853, 200000
copy, based_2d_strategy, uint32_t,  4.5442, 500000
copy, based_2d_strategy, uint32_t,  4.2108, 1000000

copy, based_2d_strategy, uint64_t,  4.5024, 100
copy, based_2d_strategy, uint64_t,  4.4955, 200
copy, based_2d_strategy, uint64_t,  4.5193, 500
copy, based_2d_strategy, uint64_t,  4.5204, 1000
copy, based_2d_strategy, uint64_t,  4.5521, 2000
copy, based_2d_strategy, uint64_t,  4.8390, 5000
copy, based_2d_strategy, uint64_t,  4.8297, 10000
copy, based_2d_strategy, uint64_t,  4.7998, 20000
copy, based_2d_strategy, uint64_t,  4.7736, 50000
copy, based_2d_strategy, uint64_t,  4.6195, 100000
copy, based_2d_strategy, uint64_t,  4.8191, 200000
copy, based_2d_strategy, uint64_t,  4.6882, 500000
copy, based_2d_strategy, uint64_t,  4.1592, 1000000

copy, based_2d_strategy, string,  1.0372, 100
copy, based_2d_strategy, string,  1.0263, 200
copy, based_2d_strategy, string,  1.0260, 500
copy, based_2d_strategy, string,  1.0337, 1000
copy, based_2d_strategy, string,  1.0330, 2000
copy, based_2d_strategy, string,  1.0388, 5000
copy, based_2d_strategy, string,  1.0388, 10000
copy, based_2d_strategy, string,  1.0409, 20000
copy, based_2d_strategy, string,  1.0597, 50000
copy, based_2d_strategy, string,  1.0423, 100000
copy, based_2d_strategy, string,  1.0634, 200000
copy, based_2d_strategy, string,  1.0490, 500000
copy, based_2d_strategy, string,  1.0692, 1000000

copy, based_2d_strategy, test_struct,  5.2027, 100
copy, based_2d_strategy, test_struct,  3.7301, 200
copy, based_2d_strategy, test_struct,  2.5095, 500
copy, based_2d_strategy, test_struct,  2.5224, 1000
copy, based_2d_strategy, test_struct,  2.4410, 2000
copy, based_2d_strategy, test_struct,  1.3710, 5000
copy, based_2d_strategy, test_struct,  1.4177, 10000
copy, based_2d_strategy, test_struct,  1.4939, 20000
copy, based_2d_strategy, test_struct,  0.9476, 50000
copy, based_2d_strategy, test_struct,  1.2465, 100000
copy, based_2d_strategy, test_struct,  1.0747, 200000
copy, based_2d_strategy, test_struct,  1.1528, 500000
copy, based_2d_strategy, test_struct,  1.1706, 1000000

copy, based_1d_strategy, uint32_t,  0.8919, 100
copy, based_1d_strategy, uint32_t,  0.8604, 200
copy, based_1d_strategy, uint32_t,  0.8729, 500
copy, based_1d_strategy, uint32_t,  0.9549, 1000
copy, based_1d_strategy, uint32_t,  0.9882, 2000
copy, based_1d_strategy, uint32_t,  1.0258, 5000
copy, based_1d_strategy, uint32_t,  1.0235, 10000
copy, based_1d_strategy, uint32_t,  1.0196, 20000
copy, based_1d_strategy, uint32_t,  1.0092, 50000
copy, based_1d_strategy, uint32_t,  1.0095, 100000
copy, based_1d_strategy, uint32_t,  0.9791, 200000
copy, based_1d_strategy, uint32_t,  1.0273, 500000
copy, based_1d_strategy, uint32_t,  1.0268, 1000000

copy, based_1d_strategy, uint64_t,  0.8973, 100
copy, based_1d_strategy, uint64_t,  0.8629, 200
copy, based_1d_strategy, uint64_t,  0.9987, 500
copy, based_1d_strategy, uint64_t,  1.0386, 1000
copy, based_1d_strategy, uint64_t,  1.0543, 2000
copy, based_1d_strategy, uint64_t,  1.0628, 5000
copy, based_1d_strategy, uint64_t,  1.0638, 10000
copy, based_1d_strategy, uint64_t,  1.0659, 20000
copy, based_1d_strategy, uint64_t,  1.0110, 50000
copy, based_1d_strategy, uint64_t,  1.0546, 100000
copy, based_1d_strategy, uint64_t,  1.0960, 200000
copy, based_1d_strategy, uint64_t,  1.1047, 500000
copy, based_1d_strategy, uint64_t,  1.1377, 1000000

copy, based_1d_strategy, string,  1.0511, 100
copy, based_1d_strategy, string,  1.0449, 200
copy, based_1d_strategy, string,  1.0488, 500
copy, based_1d_strategy, string,  1.0470, 1000
copy, based_1d_strategy, string,  1.0470, 2000
copy, based_1d_strategy, string,  1.0577, 5000
copy, based_1d_strategy, string,  1.0470, 10000
copy, based_1d_strategy, string,  1.0477, 20000
copy, based_1d_strategy, string,  1.0504, 50000
copy, based_1d_strategy, string,  1.0459, 100000
copy, based_1d_strategy, string,  1.0418, 200000
copy, based_1d_strategy, string,  1.0400, 500000
copy, based_1d_strategy, string,  1.0345, 1000000

copy, based_1d_strategy, test_struct,  1.5606, 100
copy, based_1d_strategy, test_struct,  1.7149, 200
copy, based_1d_strategy, test_struct,  1.0535, 500
copy, based_1d_strategy, test_struct,  1.0588, 1000
copy, based_1d_strategy, test_struct,  1.0532, 2000
copy, based_1d_strategy, test_struct,  1.1104, 5000
copy, based_1d_strategy, test_struct,  1.0378, 10000
copy, based_1d_strategy, test_struct,  0.9955, 20000
copy, based_1d_strategy, test_struct,  1.0230, 50000
copy, based_1d_strategy, test_struct,  1.0517, 100000
copy, based_1d_strategy, test_struct,  0.9915, 200000
copy, based_1d_strategy, test_struct,  1.0090, 500000
copy, based_1d_strategy, test_struct,  0.9259, 1000000

copy, offset_strategy, uint32_t,  1.3977, 100
copy, offset_strategy, uint32_t,  1.3639, 200
copy, offset_strategy, uint32_t,  1.3465, 500
copy, offset_strategy, uint32_t,  1.3656, 1000
copy, offset_strategy, uint32_t,  1.3645, 2000
copy, offset_strategy, uint32_t,  1.3563, 5000
copy, offset_strategy, uint32_t,  1.3612, 10000
copy, offset_strategy, uint32_t,  1.3595, 20000
copy, offset_strategy, uint32_t,  1.3295, 50000
copy, offset_strategy, uint32_t,  1.3351, 100000
copy, offset_strategy, uint32_t,  1.3279, 200000
copy, offset_strategy, uint32_t,  1.3444, 500000
copy, offset_strategy, uint32_t,  1.2595, 1000000

copy, offset_strategy, uint64_t,  1.5577, 100
copy, offset_strategy, uint64_t,  1.5199, 200
copy, offset_strategy, uint64_t,  1.5360, 500
copy, offset_strategy, uint64_t,  1.5474, 1000
copy, offset_strategy, uint64_t,  1.5417, 2000
copy, offset_strategy, uint64_t,  1.5064, 5000
copy, offset_strategy, uint64_t,  1.5329, 10000
copy, offset_strategy, uint64_t,  1.5128, 20000
copy, offset_strategy, uint64_t,  1.5106, 50000
copy, offset_strategy, uint64_t,  1.5109, 100000
copy, offset_strategy, uint64_t,  1.5366, 200000
copy, offset_strategy, uint64_t,  1.5410, 500000
copy, offset_strategy, uint64_t,  1.4004, 1000000

copy, offset_strategy, string,  1.1375, 100
copy, offset_strategy, string,  1.1410, 200
copy, offset_strategy, string,  1.1369, 500
copy, offset_strategy, string,  1.1350, 1000
copy, offset_strategy, string,  1.1343, 2000
copy, offset_strategy, string,  1.1365, 5000
copy, offset_strategy, string,  1.1356, 10000
copy, offset_strategy, string,  1.1355, 20000
copy, offset_strategy, string,  1.1277, 50000
copy, offset_strategy, string,  1.1373, 100000
copy, offset_strategy, string,  1.0927, 200000
copy, offset_strategy, string,  1.0965, 500000
copy, offset_strategy, string,  1.0958, 1000000

copy, offset_strategy, test_struct,  2.0550, 100
copy, offset_strategy, test_struct,  2.0351, 200
copy, offset_strategy, test_struct,  1.1196, 500
copy, offset_strategy, test_struct,  1.1438, 1000
copy, offset_strategy, test_struct,  1.1455, 2000
copy, offset_strategy, test_struct,  1.0122, 5000
copy, offset_strategy, test_struct,  1.0741, 10000
copy, offset_strategy, test_struct,  1.1353, 20000
copy, offset_strategy, test_struct,  0.9979, 50000
copy, offset_strategy, test_struct,  0.8636, 100000
copy, offset_strategy, test_struct,  1.0291, 200000
copy, offset_strategy, test_struct,  0.9923, 500000
copy, offset_strategy, test_struct,  1.0083, 1000000

sort, wrapper_strategy, uint32_t,  1.5356, 100
sort, wrapper_strategy, uint32_t,  1.2754, 200
sort, wrapper_strategy, uint32_t,  1.1267, 500
sort, wrapper_strategy, uint32_t,  1.0761, 1000
sort, wrapper_strategy, uint32_t,  1.0467, 2000
sort, wrapper_strategy, uint32_t,  1.0164, 5000
sort, wrapper_strategy, uint32_t,  1.0131, 10000
sort, wrapper_strategy, uint32_t,  1.0125, 20000
sort, wrapper_strategy, uint32_t,  1.0118, 50000
sort, wrapper_strategy, uint32_t,  1.0108, 100000
sort, wrapper_strategy, uint32_t,  1.0065, 200000
sort, wrapper_strategy, uint32_t,  1.0067, 500000
sort, wrapper_strategy, uint32_t,  1.0035, 1000000

sort, wrapper_strategy, uint64_t,  1.5998, 100
sort, wrapper_strategy, uint64_t,  1.2536, 200
sort, wrapper_strategy, uint64_t,  1.1124, 500
sort, wrapper_strategy, uint64_t,  1.0543, 1000
sort, wrapper_strategy, uint64_t,  1.0389, 2000
sort, wrapper_strategy, uint64_t,  1.0147, 5000
sort, wrapper_strategy, uint64_t,  1.0067, 10000
sort, wrapper_strategy, uint64_t,  1.0009, 20000
sort, wrapper_strategy, uint64_t,  1.0003, 50000
sort, wrapper_strategy, uint64_t,  0.9993, 100000
sort, wrapper_strategy, uint64_t,  0.9955, 200000
sort, wrapper_strategy, uint64_t,  0.9952, 500000
sort, wrapper_strategy, uint64_t,  0.9927, 1000000

sort, wrapper_strategy, string,  1.0307, 100
sort, wrapper_strategy, string,  1.0110, 200
sort, wrapper_strategy, string,  0.9971, 500
sort, wrapper_strategy, string,  0.9830, 1000
sort, wrapper_strategy, string,  0.9870, 2000
sort, wrapper_strategy, string,  0.9823, 5000
sort, wrapper_strategy, string,  0.9829, 10000
sort, wrapper_strategy, string,  0.9822, 20000
sort, wrapper_strategy, string,  0.9783, 50000
sort, wrapper_strategy, string,  0.9707, 100000
sort, wrapper_strategy, string,  0.9696, 200000
sort, wrapper_strategy, string,  0.9577, 500000
sort, wrapper_strategy, string,  0.9592, 1000000

sort, wrapper_strategy, test_struct,  1.0925, 100
sort, wrapper_strategy, test_struct,  1.0404, 200
sort, wrapper_strategy, test_struct,  1.0162, 500
sort, wrapper_strategy, test_struct,  1.0042, 1000
sort, wrapper_strategy, test_struct,  0.9914, 2000
sort, wrapper_strategy, test_struct,  1.0007, 5000
sort, wrapper_strategy, test_struct,  0.9990, 10000
sort, wrapper_strategy, test_struct,  0.9971, 20000
sort, wrapper_strategy, test_struct,  0.9969, 50000
sort, wrapper_strategy, test_struct,  0.9979, 100000
sort, wrapper_strategy, test_struct,  0.9805, 200000
sort, wrapper_strategy, test_struct,  0.9720, 500000
sort, wrapper_strategy, test_struct,  0.9958, 1000000

sort, based_2dxl_strategy, uint32_t,  3.6295, 100
sort, based_2dxl_strategy, uint32_t,  2.8530, 200
sort, based_2dxl_strategy, uint32_t,  2.5202, 500
sort, based_2dxl_strategy, uint32_t,  2.3357, 1000
sort, based_2dxl_strategy, uint32_t,  2.2878, 2000
sort, based_2dxl_strategy, uint32_t,  2.2261, 5000
sort, based_2dxl_strategy, uint32_t,  2.2270, 10000
sort, based_2dxl_strategy, uint32_t,  2.2063, 20000
sort, based_2dxl_strategy, uint32_t,  2.1885, 50000
sort, based_2dxl_strategy, uint32_t,  2.1835, 100000
sort, based_2dxl_strategy, uint32_t,  2.1856, 200000
sort, based_2dxl_strategy, uint32_t,  2.1802, 500000
sort, based_2dxl_strategy, uint32_t,  2.1682, 1000000

sort, based_2dxl_strategy, uint64_t,  3.6295, 100
sort, based_2dxl_strategy, uint64_t,  2.8603, 200
sort, based_2dxl_strategy, uint64_t,  2.4573, 500
sort, based_2dxl_strategy, uint64_t,  2.3337, 1000
sort, based_2dxl_strategy, uint64_t,  2.2393, 2000
sort, based_2dxl_strategy, uint64_t,  2.1720, 5000
sort, based_2dxl_strategy, uint64_t,  2.1449, 10000
sort, based_2dxl_strategy, uint64_t,  2.1489, 20000
sort, based_2dxl_strategy, uint64_t,  2.1433, 50000
sort, based_2dxl_strategy, uint64_t,  2.1291, 100000
sort, based_2dxl_strategy, uint64_t,  2.1287, 200000
sort, based_2dxl_strategy, uint64_t,  2.1176, 500000
sort, based_2dxl_strategy, uint64_t,  2.1015, 1000000

sort, based_2dxl_strategy, string,  1.3213, 100
sort, based_2dxl_strategy, string,  1.2541, 200
sort, based_2dxl_strategy, string,  1.1794, 500
sort, based_2dxl_strategy, string,  1.1769, 1000
sort, based_2dxl_strategy, string,  1.1665, 2000
sort, based_2dxl_strategy, string,  1.1660, 5000
sort, based_2dxl_strategy, string,  1.1675, 10000
sort, based_2dxl_strategy, string,  1.1622, 20000
sort, based_2dxl_strategy, string,  1.1688, 50000
sort, based_2dxl_strategy, string,  1.1653, 100000
sort, based_2dxl_strategy, string,  1.1656, 200000
sort, based_2dxl_strategy, string,  1.1417, 500000
sort, based_2dxl_strategy, string,  1.1374, 1000000

sort, based_2dxl_strategy, test_struct,  1.5314, 100
sort, based_2dxl_strategy, test_struct,  1.4219, 200
sort, based_2dxl_strategy, test_struct,  1.3679, 500
sort, based_2dxl_strategy, test_struct,  1.3596, 1000
sort, based_2dxl_strategy, test_struct,  1.3512, 2000
sort, based_2dxl_strategy, test_struct,  1.3515, 5000
sort, based_2dxl_strategy, test_struct,  1.3430, 10000
sort, based_2dxl_strategy, test_struct,  1.3452, 20000
sort, based_2dxl_strategy, test_struct,  1.3473, 50000
sort, based_2dxl_strategy, test_struct,  1.3500, 100000
sort, based_2dxl_strategy, test_struct,  1.3091, 200000
sort, based_2dxl_strategy, test_struct,  1.2990, 500000
sort, based_2dxl_strategy, test_struct,  1.3368, 1000000

sort, based_2d_strategy, uint32_t,  3.0554, 100
sort, based_2d_strategy, uint32_t,  2.3969, 200
sort, based_2d_strategy, uint32_t,  2.1280, 500
sort, based_2d_strategy, uint32_t,  2.0021, 1000
sort, based_2d_strategy, uint32_t,  1.9320, 2000
sort, based_2d_strategy, uint32_t,  1.9164, 5000
sort, based_2d_strategy, uint32_t,  1.9187, 10000
sort, based_2d_strategy, uint32_t,  1.9203, 20000
sort, based_2d_strategy, uint32_t,  1.9305, 50000
sort, based_2d_strategy, uint32_t,  1.9278, 100000
sort, based_2d_strategy, uint32_t,  1.9318, 200000
sort, based_2d_strategy, uint32_t,  1.9336, 500000
sort, based_2d_strategy, uint32_t,  1.9404, 1000000

sort, based_2d_strategy, uint64_t,  3.1272, 100
sort, based_2d_strategy, uint64_t,  2.4233, 200
sort, based_2d_strategy, uint64_t,  2.0536, 500
sort, based_2d_strategy, uint64_t,  1.9686, 1000
sort, based_2d_strategy, uint64_t,  1.9108, 2000
sort, based_2d_strategy, uint64_t,  1.8781, 5000
sort, based_2d_strategy, uint64_t,  1.8849, 10000
sort, based_2d_strategy, uint64_t,  1.8841, 20000
sort, based_2d_strategy, uint64_t,  1.8918, 50000
sort, based_2d_strategy, uint64_t,  1.8910, 100000
sort, based_2d_strategy, uint64_t,  1.8923, 200000
sort, based_2d_strategy, uint64_t,  1.9021, 500000
sort, based_2d_strategy, uint64_t,  1.8963, 1000000

sort, based_2d_strategy, string,  1.3601, 100
sort, based_2d_strategy, string,  1.2556, 200
sort, based_2d_strategy, string,  1.1941, 500
sort, based_2d_strategy, string,  1.1861, 1000
sort, based_2d_strategy, string,  1.1761, 2000
sort, based_2d_strategy, string,  1.1732, 5000
sort, based_2d_strategy, string,  1.1761, 10000
sort, based_2d_strategy, string,  1.1699, 20000
sort, based_2d_strategy, string,  1.1733, 50000
sort, based_2d_strategy, string,  1.1234, 100000
sort, based_2d_strategy, string,  1.1424, 200000
sort, based_2d_strategy, string,  1.1436, 500000
sort, based_2d_strategy, string,  1.1398, 1000000

sort, based_2d_strategy, test_struct,  1.5755, 100
sort, based_2d_strategy, test_struct,  1.4138, 200
sort, based_2d_strategy, test_struct,  1.3498, 500
sort, based_2d_strategy, test_struct,  1.3256, 1000
sort, based_2d_strategy, test_struct,  1.3131, 2000
sort, based_2d_strategy, test_struct,  1.3110, 5000
sort, based_2d_strategy, test_struct,  1.3081, 10000
sort, based_2d_strategy, test_struct,  1.3078, 20000
sort, based_2d_strategy, test_struct,  1.3065, 50000
sort, based_2d_strategy, test_struct,  1.3041, 100000
sort, based_2d_strategy, test_struct,  1.3071, 200000
sort, based_2d_strategy, test_struct,  1.2994, 500000
sort, based_2d_strategy, test_struct,  1.2724, 1000000

sort, based_1d_strategy, uint32_t,  3.1697, 100
sort, based_1d_strategy, uint32_t,  2.6241, 200
sort, based_1d_strategy, uint32_t,  2.3920, 500
sort, based_1d_strategy, uint32_t,  2.2836, 1000
sort, based_1d_strategy, uint32_t,  2.2565, 2000
sort, based_1d_strategy, uint32_t,  2.2409, 5000
sort, based_1d_strategy, uint32_t,  2.2437, 10000
sort, based_1d_strategy, uint32_t,  2.2849, 20000
sort, based_1d_strategy, uint32_t,  2.2729, 50000
sort, based_1d_strategy, uint32_t,  2.2807, 100000
sort, based_1d_strategy, uint32_t,  2.2893, 200000
sort, based_1d_strategy, uint32_t,  2.3055, 500000
sort, based_1d_strategy, uint32_t,  2.3025, 1000000

sort, based_1d_strategy, uint64_t,  3.0667, 100
sort, based_1d_strategy, uint64_t,  2.6518, 200
sort, based_1d_strategy, uint64_t,  2.3664, 500
sort, based_1d_strategy, uint64_t,  2.3528, 1000
sort, based_1d_strategy, uint64_t,  2.3162, 2000
sort, based_1d_strategy, uint64_t,  2.3032, 5000
sort, based_1d_strategy, uint64_t,  2.3116, 10000
sort, based_1d_strategy, uint64_t,  2.3286, 20000
sort, based_1d_strategy, uint64_t,  2.3254, 50000
sort, based_1d_strategy, uint64_t,  2.3483, 100000
sort, based_1d_strategy, uint64_t,  2.3510, 200000
sort, based_1d_strategy, uint64_t,  2.3519, 500000
sort, based_1d_strategy, uint64_t,  2.3586, 1000000

sort, based_1d_strategy, string,  1.2889, 100
sort, based_1d_strategy, string,  1.2119, 200
sort, based_1d_strategy, string,  1.1946, 500
sort, based_1d_strategy, string,  1.1910, 1000
sort, based_1d_strategy, string,  1.1929, 2000
sort, based_1d_strategy, string,  1.2003, 5000
sort, based_1d_strategy, string,  1.2152, 10000
sort, based_1d_strategy, string,  1.2151, 20000
sort, based_1d_strategy, string,  1.2103, 50000
sort, based_1d_strategy, string,  1.1833, 100000
sort, based_1d_strategy, string,  1.1729, 200000
sort, based_1d_strategy, string,  1.1873, 500000
sort, based_1d_strategy, string,  1.1883, 1000000

sort, based_1d_strategy, test_struct,  1.6146, 100
sort, based_1d_strategy, test_struct,  1.5110, 200
sort, based_1d_strategy, test_struct,  1.4709, 500
sort, based_1d_strategy, test_struct,  1.4504, 1000
sort, based_1d_strategy, test_struct,  1.4406, 2000
sort, based_1d_strategy, test_struct,  1.4290, 5000
sort, based_1d_strategy, test_struct,  1.4279, 10000
sort, based_1d_strategy, test_struct,  1.4266, 20000
sort, based_1d_strategy, test_struct,  1.4310, 50000
sort, based_1d_strategy, test_struct,  1.4361, 100000
sort, based_1d_strategy, test_struct,  1.4329, 200000
sort, based_1d_strategy, test_struct,  1.4324, 500000
sort, based_1d_strategy, test_struct,  1.3954, 1000000

sort, offset_strategy, uint32_t,  4.5455, 100
sort, offset_strategy, uint32_t,  3.7110, 200
sort, offset_strategy, uint32_t,  3.2577, 500
sort, offset_strategy, uint32_t,  3.0906, 1000
sort, offset_strategy, uint32_t,  3.0609, 2000
sort, offset_strategy, uint32_t,  3.0259, 5000
sort, offset_strategy, uint32_t,  3.0287, 10000
sort, offset_strategy, uint32_t,  3.0582, 20000
sort, offset_strategy, uint32_t,  3.0617, 50000
sort, offset_strategy, uint32_t,  3.0698, 100000
sort, offset_strategy, uint32_t,  3.0849, 200000
sort, offset_strategy, uint32_t,  3.0883, 500000
sort, offset_strategy, uint32_t,  3.0886, 1000000

sort, offset_strategy, uint64_t,  4.3822, 100
sort, offset_strategy, uint64_t,  3.5289, 200
sort, offset_strategy, uint64_t,  3.2103, 500
sort, offset_strategy, uint64_t,  3.0000, 1000
sort, offset_strategy, uint64_t,  3.0064, 2000
sort, offset_strategy, uint64_t,  2.9832, 5000
sort, offset_strategy, uint64_t,  2.9716, 10000
sort, offset_strategy, uint64_t,  2.9822, 20000
sort, offset_strategy, uint64_t,  3.0119, 50000
sort, offset_strategy, uint64_t,  3.0187, 100000
sort, offset_strategy, uint64_t,  3.0098, 200000
sort, offset_strategy, uint64_t,  3.0164, 500000
sort, offset_strategy, uint64_t,  3.0247, 1000000

sort, offset_strategy, string,  1.5726, 100
sort, offset_strategy, string,  1.4377, 200
sort, offset_strategy, string,  1.3564, 500
sort, offset_strategy, string,  1.3371, 1000
sort, offset_strategy, string,  1.3297, 2000
sort, offset_strategy, string,  1.3525, 5000
sort, offset_strategy, string,  1.3411, 10000
sort, offset_strategy, string,  1.3391, 20000
sort, offset_strategy, string,  1.3315, 50000
sort, offset_strategy, string,  1.3282, 100000
sort, offset_strategy, string,  1.3290, 200000
sort, offset_strategy, string,  1.2992, 500000
sort, offset_strategy, string,  1.3149, 1000000

sort, offset_strategy, test_struct,  1.9829, 100
sort, offset_strategy, test_struct,  1.8190, 200
sort, offset_strategy, test_struct,  1.7308, 500
sort, offset_strategy, test_struct,  1.6982, 1000
sort, offset_strategy, test_struct,  1.6727, 2000
sort, offset_strategy, test_struct,  1.6640, 5000
sort, offset_strategy, test_struct,  1.6545, 10000
