/usr/local/clang/3.8.1/bin/clang++
/usr/local/clang/3.8.1/lib:/usr/local/gcc/6.1.0/lib:/usr/local/gcc/6.1.0/lib64
copy, wrapper_strategy, uint32_t,  0.9989, 100
copy, wrapper_strategy, uint32_t,  1.0002, 200
copy, wrapper_strategy, uint32_t,  0.9918, 500
copy, wrapper_strategy, uint32_t,  0.9928, 1000
copy, wrapper_strategy, uint32_t,  0.9813, 2000
copy, wrapper_strategy, uint32_t,  1.0010, 5000
copy, wrapper_strategy, uint32_t,  0.9961, 10000
copy, wrapper_strategy, uint32_t,  0.9988, 20000
copy, wrapper_strategy, uint32_t,  0.9970, 50000
copy, wrapper_strategy, uint32_t,  0.9965, 100000
copy, wrapper_strategy, uint32_t,  0.9971, 200000
copy, wrapper_strategy, uint32_t,  0.9966, 500000
copy, wrapper_strategy, uint32_t,  0.9972, 1000000

copy, wrapper_strategy, uint64_t,  1.0012, 100
copy, wrapper_strategy, uint64_t,  0.9973, 200
copy, wrapper_strategy, uint64_t,  0.9991, 500
copy, wrapper_strategy, uint64_t,  1.0024, 1000
copy, wrapper_strategy, uint64_t,  0.9452, 2000
copy, wrapper_strategy, uint64_t,  0.9785, 5000
copy, wrapper_strategy, uint64_t,  0.9942, 10000
copy, wrapper_strategy, uint64_t,  0.9701, 20000
copy, wrapper_strategy, uint64_t,  0.9749, 50000
copy, wrapper_strategy, uint64_t,  0.9770, 100000
copy, wrapper_strategy, uint64_t,  0.9844, 200000
copy, wrapper_strategy, uint64_t,  0.9797, 500000
copy, wrapper_strategy, uint64_t,  0.9901, 1000000

copy, wrapper_strategy, string,  0.9973, 100
copy, wrapper_strategy, string,  0.9970, 200
copy, wrapper_strategy, string,  0.9959, 500
copy, wrapper_strategy, string,  0.9998, 1000
copy, wrapper_strategy, string,  0.9984, 2000
copy, wrapper_strategy, string,  0.9995, 5000
copy, wrapper_strategy, string,  0.9988, 10000
copy, wrapper_strategy, string,  0.9996, 20000
copy, wrapper_strategy, string,  0.9998, 50000
copy, wrapper_strategy, string,  0.9988, 100000
copy, wrapper_strategy, string,  0.9928, 200000
copy, wrapper_strategy, string,  0.9994, 500000
copy, wrapper_strategy, string,  0.9974, 1000000

copy, wrapper_strategy, test_struct,  1.0012, 100
copy, wrapper_strategy, test_struct,  0.9842, 200
copy, wrapper_strategy, test_struct,  0.9978, 500
copy, wrapper_strategy, test_struct,  0.9981, 1000
copy, wrapper_strategy, test_struct,  0.9910, 2000
copy, wrapper_strategy, test_struct,  0.9657, 5000
copy, wrapper_strategy, test_struct,  0.9836, 10000
copy, wrapper_strategy, test_struct,  0.9996, 20000
copy, wrapper_strategy, test_struct,  1.0026, 50000
copy, wrapper_strategy, test_struct,  1.0022, 100000
copy, wrapper_strategy, test_struct,  1.0563, 200000
copy, wrapper_strategy, test_struct,  0.9783, 500000
copy, wrapper_strategy, test_struct,  0.9975, 1000000

copy, based_2dxl_strategy, uint32_t,  0.9970, 100
copy, based_2dxl_strategy, uint32_t,  0.9984, 200
copy, based_2dxl_strategy, uint32_t,  0.9960, 500
copy, based_2dxl_strategy, uint32_t,  1.0152, 1000
copy, based_2dxl_strategy, uint32_t,  0.9833, 2000
copy, based_2dxl_strategy, uint32_t,  0.9956, 5000
copy, based_2dxl_strategy, uint32_t,  0.9993, 10000
copy, based_2dxl_strategy, uint32_t,  0.9977, 20000
copy, based_2dxl_strategy, uint32_t,  0.9980, 50000
copy, based_2dxl_strategy, uint32_t,  0.9992, 100000
copy, based_2dxl_strategy, uint32_t,  0.9979, 200000
copy, based_2dxl_strategy, uint32_t,  0.9986, 500000
copy, based_2dxl_strategy, uint32_t,  0.9983, 1000000

copy, based_2dxl_strategy, uint64_t,  0.9784, 100
copy, based_2dxl_strategy, uint64_t,  0.9945, 200
copy, based_2dxl_strategy, uint64_t,  0.9965, 500
copy, based_2dxl_strategy, uint64_t,  0.9934, 1000
copy, based_2dxl_strategy, uint64_t,  0.9928, 2000
copy, based_2dxl_strategy, uint64_t,  0.9973, 5000
copy, based_2dxl_strategy, uint64_t,  0.9966, 10000
copy, based_2dxl_strategy, uint64_t,  0.9854, 20000
copy, based_2dxl_strategy, uint64_t,  0.9852, 50000
copy, based_2dxl_strategy, uint64_t,  0.9826, 100000
copy, based_2dxl_strategy, uint64_t,  0.9902, 200000
copy, based_2dxl_strategy, uint64_t,  0.9894, 500000
copy, based_2dxl_strategy, uint64_t,  0.9976, 1000000

copy, based_2dxl_strategy, string,  1.0016, 100
copy, based_2dxl_strategy, string,  1.0033, 200
copy, based_2dxl_strategy, string,  1.0027, 500
copy, based_2dxl_strategy, string,  1.0037, 1000
copy, based_2dxl_strategy, string,  1.0047, 2000
copy, based_2dxl_strategy, string,  1.0045, 5000
copy, based_2dxl_strategy, string,  1.0035, 10000
copy, based_2dxl_strategy, string,  1.0046, 20000
copy, based_2dxl_strategy, string,  1.0040, 50000
copy, based_2dxl_strategy, string,  1.0012, 100000
copy, based_2dxl_strategy, string,  1.0036, 200000
copy, based_2dxl_strategy, string,  1.0022, 500000
copy, based_2dxl_strategy, string,  1.0045, 1000000

copy, based_2dxl_strategy, test_struct,  1.2454, 100
copy, based_2dxl_strategy, test_struct,  1.3350, 200
copy, based_2dxl_strategy, test_struct,  0.9913, 500
copy, based_2dxl_strategy, test_struct,  0.9918, 1000
copy, based_2dxl_strategy, test_struct,  1.0105, 2000
copy, based_2dxl_strategy, test_struct,  0.9855, 5000
copy, based_2dxl_strategy, test_struct,  0.9683, 10000
copy, based_2dxl_strategy, test_struct,  0.9881, 20000
copy, based_2dxl_strategy, test_struct,  0.9416, 50000
copy, based_2dxl_strategy, test_struct,  0.9685, 100000
copy, based_2dxl_strategy, test_struct,  0.9664, 200000
copy, based_2dxl_strategy, test_struct,  0.9901, 500000
copy, based_2dxl_strategy, test_struct,  0.9929, 1000000

