/usr/local/gcc/7.1.0/bin/g++
/usr/local/gcc/7.1.0/lib:/usr/local/gcc/7.1.0/lib64
copy, wrapper_strategy, uint32_t,  0.9969, 100
copy, wrapper_strategy, uint32_t,  0.9900, 200
copy, wrapper_strategy, uint32_t,  0.9911, 500
copy, wrapper_strategy, uint32_t,  1.0004, 1000
copy, wrapper_strategy, uint32_t,  1.0002, 2000
copy, wrapper_strategy, uint32_t,  1.0010, 5000
copy, wrapper_strategy, uint32_t,  1.0001, 10000
copy, wrapper_strategy, uint32_t,  0.9996, 20000
copy, wrapper_strategy, uint32_t,  0.9975, 50000
copy, wrapper_strategy, uint32_t,  0.9995, 100000
copy, wrapper_strategy, uint32_t,  0.9999, 200000
copy, wrapper_strategy, uint32_t,  0.9996, 500000
copy, wrapper_strategy, uint32_t,  0.9937, 1000000

copy, wrapper_strategy, uint64_t,  1.0287, 100
copy, wrapper_strategy, uint64_t,  1.0140, 200
copy, wrapper_strategy, uint64_t,  0.9977, 500
copy, wrapper_strategy, uint64_t,  0.9998, 1000
copy, wrapper_strategy, uint64_t,  1.0011, 2000
copy, wrapper_strategy, uint64_t,  0.9924, 5000
copy, wrapper_strategy, uint64_t,  0.9959, 10000
copy, wrapper_strategy, uint64_t,  0.9885, 20000
copy, wrapper_strategy, uint64_t,  0.9835, 50000
copy, wrapper_strategy, uint64_t,  0.9792, 100000
copy, wrapper_strategy, uint64_t,  0.9826, 200000
copy, wrapper_strategy, uint64_t,  0.9748, 500000
copy, wrapper_strategy, uint64_t,  0.9840, 1000000

copy, wrapper_strategy, string,  0.9995, 100
copy, wrapper_strategy, string,  0.9953, 200
copy, wrapper_strategy, string,  0.9971, 500
copy, wrapper_strategy, string,  0.9970, 1000
copy, wrapper_strategy, string,  0.9995, 2000
copy, wrapper_strategy, string,  0.9982, 5000
copy, wrapper_strategy, string,  0.9995, 10000
copy, wrapper_strategy, string,  0.9994, 20000
copy, wrapper_strategy, string,  0.9949, 50000
copy, wrapper_strategy, string,  0.9967, 100000
copy, wrapper_strategy, string,  0.9969, 200000
copy, wrapper_strategy, string,  0.9955, 500000
copy, wrapper_strategy, string,  1.0011, 1000000

copy, wrapper_strategy, test_struct,  0.9978, 100
copy, wrapper_strategy, test_struct,  1.0064, 200
copy, wrapper_strategy, test_struct,  0.9996, 500
copy, wrapper_strategy, test_struct,  0.9979, 1000
copy, wrapper_strategy, test_struct,  0.9959, 2000
copy, wrapper_strategy, test_struct,  0.9955, 5000
copy, wrapper_strategy, test_struct,  0.9947, 10000
copy, wrapper_strategy, test_struct,  0.9618, 20000
copy, wrapper_strategy, test_struct,  0.9864, 50000
copy, wrapper_strategy, test_struct,  0.9720, 100000
copy, wrapper_strategy, test_struct,  0.9836, 200000
copy, wrapper_strategy, test_struct,  0.9856, 500000
copy, wrapper_strategy, test_struct,  0.9893, 1000000

copy, based_2dxl_strategy, uint32_t,  0.9969, 100
copy, based_2dxl_strategy, uint32_t,   1.000, 200
copy, based_2dxl_strategy, uint32_t,  0.9899, 500
copy, based_2dxl_strategy, uint32_t,  1.0001, 1000
copy, based_2dxl_strategy, uint32_t,  1.0003, 2000
copy, based_2dxl_strategy, uint32_t,  1.0038, 5000
copy, based_2dxl_strategy, uint32_t,  1.0021, 10000
copy, based_2dxl_strategy, uint32_t,  1.0011, 20000
copy, based_2dxl_strategy, uint32_t,  0.9986, 50000
copy, based_2dxl_strategy, uint32_t,  0.9972, 100000
copy, based_2dxl_strategy, uint32_t,  1.0013, 200000
copy, based_2dxl_strategy, uint32_t,  1.0033, 500000
copy, based_2dxl_strategy, uint32_t,  0.9859, 1000000

copy, based_2dxl_strategy, uint64_t,  1.0219, 100
copy, based_2dxl_strategy, uint64_t,  1.0160, 200
copy, based_2dxl_strategy, uint64_t,  0.9982, 500
copy, based_2dxl_strategy, uint64_t,  1.0012, 1000
copy, based_2dxl_strategy, uint64_t,  1.0038, 2000
copy, based_2dxl_strategy, uint64_t,  0.9971, 5000
copy, based_2dxl_strategy, uint64_t,  0.9965, 10000
copy, based_2dxl_strategy, uint64_t,  0.9902, 20000
copy, based_2dxl_strategy, uint64_t,  0.9855, 50000
copy, based_2dxl_strategy, uint64_t,  0.9847, 100000
copy, based_2dxl_strategy, uint64_t,  0.9852, 200000
copy, based_2dxl_strategy, uint64_t,  0.9831, 500000
copy, based_2dxl_strategy, uint64_t,  0.9740, 1000000

copy, based_2dxl_strategy, string,  0.9949, 100
copy, based_2dxl_strategy, string,  0.9985, 200
copy, based_2dxl_strategy, string,  0.9974, 500
copy, based_2dxl_strategy, string,  0.9971, 1000
copy, based_2dxl_strategy, string,  0.9955, 2000
copy, based_2dxl_strategy, string,  0.9956, 5000
copy, based_2dxl_strategy, string,  0.9970, 10000
copy, based_2dxl_strategy, string,  0.9957, 20000
copy, based_2dxl_strategy, string,  0.9970, 50000
copy, based_2dxl_strategy, string,  0.9919, 100000
copy, based_2dxl_strategy, string,  1.0001, 200000
copy, based_2dxl_strategy, string,  0.9993, 500000
copy, based_2dxl_strategy, string,  0.9990, 1000000

copy, based_2dxl_strategy, test_struct,  1.3320, 100
copy, based_2dxl_strategy, test_struct,  1.3453, 200
copy, based_2dxl_strategy, test_struct,  0.9996, 500
copy, based_2dxl_strategy, test_struct,  0.9986, 1000
copy, based_2dxl_strategy, test_struct,  0.9918, 2000
copy, based_2dxl_strategy, test_struct,  1.0028, 5000
copy, based_2dxl_strategy, test_struct,  0.9956, 10000
copy, based_2dxl_strategy, test_struct,  0.9958, 20000
copy, based_2dxl_strategy, test_struct,  0.9962, 50000
copy, based_2dxl_strategy, test_struct,  0.9918, 100000
copy, based_2dxl_strategy, test_struct,  0.9907, 200000
copy, based_2dxl_strategy, test_struct,   1.000, 500000
copy, based_2dxl_strategy, test_struct,  0.9811, 1000000

copy, based_2d_strategy, uint32_t,  0.9767, 100
copy, based_2d_strategy, uint32_t,  0.9784, 200
copy, based_2d_strategy, uint32_t,  0.9712, 500
copy, based_2d_strategy, uint32_t,  0.9950, 1000
copy, based_2d_strategy, uint32_t,  0.9994, 2000
copy, based_2d_strategy, uint32_t,  1.0008, 5000
copy, based_2d_strategy, uint32_t,  0.9991, 10000
copy, based_2d_strategy, uint32_t,  0.9984, 20000
copy, based_2d_strategy, uint32_t,  0.9868, 50000
copy, based_2d_strategy, uint32_t,  0.9807, 100000
copy, based_2d_strategy, uint32_t,  0.9693, 200000
copy, based_2d_strategy, uint32_t,  0.9400, 500000
copy, based_2d_strategy, uint32_t,  0.9450, 1000000

copy, based_2d_strategy, uint64_t,  0.9392, 100
copy, based_2d_strategy, uint64_t,  0.9785, 200
copy, based_2d_strategy, uint64_t,  0.9933, 500
copy, based_2d_strategy, uint64_t,  0.9962, 1000
copy, based_2d_strategy, uint64_t,  1.0013, 2000
copy, based_2d_strategy, uint64_t,  0.9962, 5000
copy, based_2d_strategy, uint64_t,  0.9960, 10000
copy, based_2d_strategy, uint64_t,  0.9860, 20000
copy, based_2d_strategy, uint64_t,  0.9827, 50000
copy, based_2d_strategy, uint64_t,  0.9790, 100000
copy, based_2d_strategy, uint64_t,  0.9613, 200000
copy, based_2d_strategy, uint64_t,  0.9584, 500000
copy, based_2d_strategy, uint64_t,  1.0354, 1000000

copy, based_2d_strategy, string,  1.0291, 100
copy, based_2d_strategy, string,  1.0235, 200
copy, based_2d_strategy, string,  1.0211, 500
copy, based_2d_strategy, string,  1.0169, 1000
copy, based_2d_strategy, string,  1.0228, 2000
copy, based_2d_strategy, string,  1.0198, 5000
copy, based_2d_strategy, string,  1.0220, 10000
copy, based_2d_strategy, string,  1.0230, 20000
copy, based_2d_strategy, string,  1.0160, 50000
copy, based_2d_strategy, string,  1.0211, 100000
copy, based_2d_strategy, string,  1.0190, 200000
copy, based_2d_strategy, string,  1.0189, 500000
copy, based_2d_strategy, string,  1.0210, 1000000

copy, based_2d_strategy, test_struct,  1.5142, 100
copy, based_2d_strategy, test_struct,  1.4918, 200
copy, based_2d_strategy, test_struct,  0.9994, 500
copy, based_2d_strategy, test_struct,  0.9975, 1000
copy, based_2d_strategy, test_struct,  0.9956, 2000
copy, based_2d_strategy, test_struct,  0.9932, 5000
copy, based_2d_strategy, test_struct,  0.9931, 10000
copy, based_2d_strategy, test_struct,  0.9952, 20000
copy, based_2d_strategy, test_struct,  1.0015, 50000
copy, based_2d_strategy, test_struct,  0.9453, 100000
copy, based_2d_strategy, test_struct,  0.9734, 200000
copy, based_2d_strategy, test_struct,  0.9966, 500000
copy, based_2d_strategy, test_struct,  0.9866, 1000000

copy, based_1d_strategy, uint32_t,  0.9976, 100
copy, based_1d_strategy, uint32_t,  0.9994, 200
copy, based_1d_strategy, uint32_t,  0.9984, 500
copy, based_1d_strategy, uint32_t,  1.0024, 1000
copy, based_1d_strategy, uint32_t,  1.0018, 2000
copy, based_1d_strategy, uint32_t,  1.0023, 5000
copy, based_1d_strategy, uint32_t,  1.0007, 10000
copy, based_1d_strategy, uint32_t,  1.0015, 20000
copy, based_1d_strategy, uint32_t,  0.9957, 50000
copy, based_1d_strategy, uint32_t,  0.9979, 100000
copy, based_1d_strategy, uint32_t,  1.0009, 200000
copy, based_1d_strategy, uint32_t,  0.9987, 500000
copy, based_1d_strategy, uint32_t,  0.9971, 1000000

copy, based_1d_strategy, uint64_t,  0.9994, 100
copy, based_1d_strategy, uint64_t,  0.9969, 200
copy, based_1d_strategy, uint64_t,  0.9972, 500
copy, based_1d_strategy, uint64_t,  1.0035, 1000
copy, based_1d_strategy, uint64_t,  1.0065, 2000
copy, based_1d_strategy, uint64_t,  1.0022, 5000
copy, based_1d_strategy, uint64_t,  1.0033, 10000
copy, based_1d_strategy, uint64_t,  0.9991, 20000
copy, based_1d_strategy, uint64_t,  0.9971, 50000
copy, based_1d_strategy, uint64_t,  1.0016, 100000
copy, based_1d_strategy, uint64_t,  0.9999, 200000
copy, based_1d_strategy, uint64_t,  0.9974, 500000
copy, based_1d_strategy, uint64_t,  1.0080, 1000000

copy, based_1d_strategy, string,  1.0188, 100
copy, based_1d_strategy, string,  1.0169, 200
copy, based_1d_strategy, string,  1.0110, 500
copy, based_1d_strategy, string,  1.0150, 1000
copy, based_1d_strategy, string,  1.0156, 2000
copy, based_1d_strategy, string,  1.0159, 5000
copy, based_1d_strategy, string,  1.0148, 10000
copy, based_1d_strategy, string,  1.0161, 20000
copy, based_1d_strategy, string,  1.0159, 50000
copy, based_1d_strategy, string,  1.0090, 100000
copy, based_1d_strategy, string,  1.0082, 200000
copy, based_1d_strategy, string,  1.0142, 500000
copy, based_1d_strategy, string,  1.0164, 1000000

copy, based_1d_strategy, test_struct,  1.4129, 100
copy, based_1d_strategy, test_struct,  1.4016, 200
copy, based_1d_strategy, test_struct,  1.0005, 500
copy, based_1d_strategy, test_struct,  0.9989, 1000
copy, based_1d_strategy, test_struct,  0.9981, 2000
copy, based_1d_strategy, test_struct,  0.9997, 5000
copy, based_1d_strategy, test_struct,  0.9835, 10000
copy, based_1d_strategy, test_struct,  0.9859, 20000
copy, based_1d_strategy, test_struct,  0.9903, 50000
copy, based_1d_strategy, test_struct,  1.0059, 100000
copy, based_1d_strategy, test_struct,  0.9737, 200000
copy, based_1d_strategy, test_struct,  1.0178, 500000
copy, based_1d_strategy, test_struct,  0.9827, 1000000

copy, offset_strategy, uint32_t,  0.9861, 100
copy, offset_strategy, uint32_t,  0.9889, 200
copy, offset_strategy, uint32_t,  0.9882, 500
copy, offset_strategy, uint32_t,  1.0127, 1000
copy, offset_strategy, uint32_t,  1.0113, 2000
copy, offset_strategy, uint32_t,  0.9990, 5000
copy, offset_strategy, uint32_t,  0.9997, 10000
copy, offset_strategy, uint32_t,  0.9991, 20000
copy, offset_strategy, uint32_t,  1.0352, 50000
copy, offset_strategy, uint32_t,  1.0054, 100000
copy, offset_strategy, uint32_t,  1.0018, 200000
copy, offset_strategy, uint32_t,  0.9881, 500000
copy, offset_strategy, uint32_t,  1.0023, 1000000

copy, offset_strategy, uint64_t,  0.7385, 100
copy, offset_strategy, uint64_t,  0.7033, 200
copy, offset_strategy, uint64_t,  0.8524, 500
copy, offset_strategy, uint64_t,  0.9379, 1000
copy, offset_strategy, uint64_t,  1.0196, 2000
copy, offset_strategy, uint64_t,  1.0168, 5000
copy, offset_strategy, uint64_t,  1.0231, 10000
copy, offset_strategy, uint64_t,  0.9986, 20000
copy, offset_strategy, uint64_t,  1.0074, 50000
copy, offset_strategy, uint64_t,  1.0011, 100000
copy, offset_strategy, uint64_t,  1.0260, 200000
copy, offset_strategy, uint64_t,  1.0197, 500000
copy, offset_strategy, uint64_t,  1.0426, 1000000

copy, offset_strategy, string,  1.0323, 100
copy, offset_strategy, string,  1.0323, 200
copy, offset_strategy, string,  1.0348, 500
copy, offset_strategy, string,  1.0371, 1000
copy, offset_strategy, string,  1.0330, 2000
copy, offset_strategy, string,  1.0386, 5000
copy, offset_strategy, string,  1.0362, 10000
copy, offset_strategy, string,  1.0392, 20000
copy, offset_strategy, string,  1.0346, 50000
copy, offset_strategy, string,  1.0275, 100000
copy, offset_strategy, string,  1.0332, 200000
copy, offset_strategy, string,  1.0337, 500000
copy, offset_strategy, string,  1.0338, 1000000

copy, offset_strategy, test_struct,  1.3984, 100
copy, offset_strategy, test_struct,  1.4663, 200
copy, offset_strategy, test_struct,  1.2342, 500
copy, offset_strategy, test_struct,  1.2484, 1000
copy, offset_strategy, test_struct,  1.2092, 2000
copy, offset_strategy, test_struct,  1.0621, 5000
copy, offset_strategy, test_struct,  1.0645, 10000
copy, offset_strategy, test_struct,  1.0880, 20000
copy, offset_strategy, test_struct,  1.0313, 50000
copy, offset_strategy, test_struct,  1.0359, 100000
copy, offset_strategy, test_struct,  0.9993, 200000
copy, offset_strategy, test_struct,  1.0028, 500000
copy, offset_strategy, test_struct,  1.0100, 1000000

sort, wrapper_strategy, uint32_t,  1.0186, 100
sort, wrapper_strategy, uint32_t,  1.0258, 200
sort, wrapper_strategy, uint32_t,  1.0185, 500
sort, wrapper_strategy, uint32_t,  1.0256, 1000
sort, wrapper_strategy, uint32_t,  1.0179, 2000
sort, wrapper_strategy, uint32_t,  0.9885, 5000
sort, wrapper_strategy, uint32_t,  1.0251, 10000
sort, wrapper_strategy, uint32_t,  1.0270, 20000
sort, wrapper_strategy, uint32_t,  1.0249, 50000
sort, wrapper_strategy, uint32_t,  1.0235, 100000
sort, wrapper_strategy, uint32_t,  1.0252, 200000
sort, wrapper_strategy, uint32_t,  1.0278, 500000
sort, wrapper_strategy, uint32_t,  1.0273, 1000000

sort, wrapper_strategy, uint64_t,  1.0733, 100
sort, wrapper_strategy, uint64_t,  1.0483, 200
sort, wrapper_strategy, uint64_t,  1.0376, 500
sort, wrapper_strategy, uint64_t,  1.0413, 1000
sort, wrapper_strategy, uint64_t,  1.0216, 2000
sort, wrapper_strategy, uint64_t,  1.0131, 5000
sort, wrapper_strategy, uint64_t,  1.0194, 10000
sort, wrapper_strategy, uint64_t,  1.0322, 20000
sort, wrapper_strategy, uint64_t,  1.0425, 50000
sort, wrapper_strategy, uint64_t,  1.0438, 100000
sort, wrapper_strategy, uint64_t,  1.0392, 200000
sort, wrapper_strategy, uint64_t,  1.0420, 500000
sort, wrapper_strategy, uint64_t,  1.0411, 1000000

sort, wrapper_strategy, string,  1.0076, 100
sort, wrapper_strategy, string,  1.0062, 200
sort, wrapper_strategy, string,  0.9931, 500
sort, wrapper_strategy, string,  1.0194, 1000
sort, wrapper_strategy, string,  0.9993, 2000
sort, wrapper_strategy, string,  1.0101, 5000
sort, wrapper_strategy, string,  1.0098, 10000
sort, wrapper_strategy, string,  1.0089, 20000
sort, wrapper_strategy, string,  1.0078, 50000
sort, wrapper_strategy, string,  1.0053, 100000
sort, wrapper_strategy, string,  0.9983, 200000
sort, wrapper_strategy, string,  0.9786, 500000
sort, wrapper_strategy, string,  0.9806, 1000000

sort, wrapper_strategy, test_struct,  0.9917, 100
sort, wrapper_strategy, test_struct,  1.0025, 200
sort, wrapper_strategy, test_struct,  1.0101, 500
