/usr/local/clang/3.9.1/bin/clang++
/usr/local/clang/3.9.1/lib:/usr/local/gcc/6.2.0/lib:/usr/local/gcc/6.2.0/lib64
copy, wrapper_strategy, uint32_t,  0.9986, 100
copy, wrapper_strategy, uint32_t,  0.9992, 200
copy, wrapper_strategy, uint32_t,  0.9995, 500
copy, wrapper_strategy, uint32_t,  1.0000, 1000
copy, wrapper_strategy, uint32_t,  1.0005, 2000
copy, wrapper_strategy, uint32_t,  0.9987, 5000
copy, wrapper_strategy, uint32_t,  1.0001, 10000
copy, wrapper_strategy, uint32_t,  1.0002, 20000
copy, wrapper_strategy, uint32_t,  0.9981, 50000
copy, wrapper_strategy, uint32_t,  0.9996, 100000
copy, wrapper_strategy, uint32_t,  0.9996, 200000
copy, wrapper_strategy, uint32_t,  0.9990, 500000
copy, wrapper_strategy, uint32_t,  1.0005, 1000000

copy, wrapper_strategy, uint64_t,  0.9999, 100
copy, wrapper_strategy, uint64_t,  1.0003, 200
copy, wrapper_strategy, uint64_t,  0.9999, 500
copy, wrapper_strategy, uint64_t,  0.9998, 1000
copy, wrapper_strategy, uint64_t,  0.9989, 2000
copy, wrapper_strategy, uint64_t,  0.9747, 5000
copy, wrapper_strategy, uint64_t,  0.9669, 10000
copy, wrapper_strategy, uint64_t,  0.9951, 20000
copy, wrapper_strategy, uint64_t,  0.9939, 50000
copy, wrapper_strategy, uint64_t,  0.9970, 100000
copy, wrapper_strategy, uint64_t,  0.9951, 200000
copy, wrapper_strategy, uint64_t,  0.9911, 500000
copy, wrapper_strategy, uint64_t,  0.9989, 1000000

copy, wrapper_strategy, string,  0.9983, 100
copy, wrapper_strategy, string,  0.9989, 200
copy, wrapper_strategy, string,  0.9971, 500
copy, wrapper_strategy, string,  0.9975, 1000
copy, wrapper_strategy, string,  1.0000, 2000
copy, wrapper_strategy, string,  0.9979, 5000
copy, wrapper_strategy, string,  0.9954, 10000
copy, wrapper_strategy, string,  0.9982, 20000
copy, wrapper_strategy, string,  1.0000, 50000
